crypto_id,date,price,rsi,volatility_7d
bitcoin,2024-03-08,66944.87639053575,49.91627898086461,0.02218212556373345
bitcoin,2024-03-09,68315.25192078314,49.91627898086461,0.02218212556373345
bitcoin,2024-03-10,68508.0039626159,49.91627898086461,0.02218212556373345
bitcoin,2024-03-11,69075.66688195744,49.91627898086461,0.02218212556373345
bitcoin,2024-03-12,72130.55300765681,49.91627898086461,0.02218212556373345
bitcoin,2024-03-13,71467.17350326062,49.91627898086461,0.02218212556373345
bitcoin,2024-03-14,73097.76702694128,49.91627898086461,0.02218212556373345
bitcoin,2024-03-15,71420.03180142345,49.91627898086461,0.02218212556373345
bitcoin,2024-03-16,69497.7631929463,49.91627898086461,0.02528773019417549
bitcoin,2024-03-17,65292.31329331289,49.91627898086461,0.034791970920539705
bitcoin,2024-03-18,68425.41565643054,49.91627898086461,0.040360071703746184
bitcoin,2024-03-19,67708.94360930806,49.91627898086461,0.035187388925216695
bitcoin,2024-03-20,62132.51737873437,49.91627898086461,0.044952223379630125
bitcoin,2024-03-21,67819.05570684028,49.91627898086461,0.06042198242367179
bitcoin,2024-03-22,65535.97844847657,45.15990918846431,0.06096450913282942
bitcoin,2024-03-23,63509.04496523133,41.389192249102585,0.06116174638616085
bitcoin,2024-03-24,64285.80279102199,43.34158035235298,0.05745503604922987
bitcoin,2024-03-25,67310.98326810106,50.28714399297972,0.05732467001880939
bitcoin,2024-03-26,69938.94530200244,55.401762177607104,0.058983972154294205
bitcoin,2024-03-27,70082.05122475982,55.66923088292946,0.04480236714868721
bitcoin,2024-03-28,69435.75040305211,54.09145355351913,0.03153478049841971
bitcoin,2024-03-29,70710.19534863312,56.697683183900644,0.027045981428462592
bitcoin,2024-03-30,69919.05546148612,54.62456522388313,0.022578203874506302
bitcoin,2024-03-31,69702.3087473573,54.041562580635166,0.023508014657928795
bitcoin,2024-04-01,71246.95144060145,57.52105909827312,0.018682319415909306
bitcoin,2024-04-02,69785.92503802372,53.40265713992284,0.01566424002814023
bitcoin,2024-04-03,65440.41922587159,43.440308931958995,0.028070703601629127
bitcoin,2024-04-04,66123.938539074,45.1728736765543,0.029057867276596414
bitcoin,2024-04-05,68542.17715279506,50.90307382768539,0.032298852602995906
bitcoin,2024-04-06,67978.61023408506,49.60199247000872,0.03220790625220607
bitcoin,2024-04-07,69000.6499164776,51.99820257434594,0.032971380396651456
bitcoin,2024-04-08,69401.97360911008,52.944299210524136,0.031611064037040226
bitcoin,2024-04-09,71624.18486236996,57.89316650091822,0.03304863674196216
bitcoin,2024-04-10,69158.64381207665,51.430313043450944,0.024207994701093107
bitcoin,2024-04-11,70527.88997578963,54.47012973661833,0.02460886143227551
bitcoin,2024-04-12,70106.66413070948,53.36364422372642,0.021919182046998182
bitcoin,2024-04-13,67252.10504226631,46.47387164199627,0.027524089477589355
bitcoin,2024-04-14,64404.82548907413,40.813568039538836,0.030285381985449555
bitcoin,2024-04-15,65752.66004728881,44.27362183554601,0.03203878054655644
bitcoin,2024-04-16,63430.5714573684,39.941398482905505,0.028159187340635404
bitcoin,2024-04-17,63720.501587480736,40.72134243925253,0.027962626841091614
bitcoin,2024-04-18,61328.89798860725,36.50947841845827,0.025637913366607066
bitcoin,2024-04-19,63461.59269510717,42.24611856562883,0.03283276998886922
bitcoin,2024-04-20,63988.818471785664,43.60274204656834,0.03129220856554884
bitcoin,2024-04-21,64894.41869109179,45.95123102692306,0.027626610186465755
bitcoin,2024-04-22,64936.4207567739,46.06341551055217,0.026268982935107977
bitcoin,2024-04-23,66841.66685207361,51.02879961845023,0.023625037881168286
bitcoin,2024-04-24,66406.95244392671,49.90002354089317,0.02423642709233633
bitcoin,2024-04-25,64279.51812857524,44.6900008347203,0.022619726375015446
bitcoin,2024-04-26,64486.183359158975,45.28761441399712,0.01900724638382103
bitcoin,2024-04-27,63802.330049258766,43.608545107716786,0.0193757517636904
bitcoin,2024-04-28,63517.248743409626,42.89457178532354,0.018317281656630928
bitcoin,2024-04-29,63030.433616681854,41.640825313383274,0.018317213112701757
bitcoin,2024-04-30,63797.67963589958,44.399142100582154,0.013647125165066191
bitcoin,2024-05-01,60749.47209216387,36.93088458827096,0.020710178543648344
bitcoin,2024-05-02,58297.57407532549,32.23407956737698,0.02220706789330298
bitcoin,2024-05-03,59135.1733607733,35.26297405198494,0.02394966641446664
bitcoin,2024-05-04,62839.34073569376,46.62486845698179,0.03708374817932803
bitcoin,2024-05-05,63820.451902924986,49.16955457370878,0.03759669203501069
bitcoin,2024-05-06,64010.00865210892,49.66882751109547,0.03738913169334261
bitcoin,2024-05-07,63172.48129551341,47.45111637153686,0.037552583448360585
bitcoin,2024-05-08,62363.057191718624,45.34393420019139,0.03220796530575139
bitcoin,2024-05-09,61215.50400879193,42.4647739522156,0.027930878561070363
bitcoin,2024-05-10,63148.59994309703,48.40765670010626,0.029374143662797378
bitcoin,2024-05-11,60888.21674957157,42.83598587592351,0.02264596918557829
bitcoin,2024-05-12,60776.97207917213,42.576256726275325,0.020992128250630487
bitcoin,2024-05-13,61507.05400412135,44.93595828158862,0.021947660975752323
bitcoin,2024-05-14,62878.783300729294,49.1629142778638,0.023892171353494383
bitcoin,2024-05-15,61569.1130057734,45.56639372818036,0.02476136871104433
bitcoin,2024-05-16,66220.51831432826,57.46718727531471,0.036698870546666436
bitcoin,2024-05-17,65260.879803346186,54.805008419637616,0.036703384893304575
bitcoin,2024-05-18,67053.12326509564,58.657064639216884,0.03244700633430068
bitcoin,2024-05-19,66912.61861403697,58.2379941348128,0.03246940548823267
